,OriginalZip,FiscalYearIssued
0,78610,1
1,78613,84
2,78617,365
3,78652,598
4,78653,444
5,78660,1197
6,78681,1
7,78701,1852
8,78702,2220
9,78703,1782
10,78704,2907
11,78705,770
12,78717,1457
13,78719,294
14,78721,1040
15,78722,470
16,78723,2387
17,78724,707
18,78725,315
19,78726,260
20,78727,834
21,78728,200
22,78729,492
23,78730,392
24,78731,1465
25,78732,257
26,78733,118
27,78734,165
28,78735,691
29,78736,369
30,78737,21
31,78738,248
32,78739,589
33,78741,1606
34,78742,33
35,78744,2457
36,78745,2361
37,78746,1321
38,78747,1085
39,78748,1972
40,78749,926
41,78750,747
42,78751,649
43,78752,760
44,78753,1344
45,78754,1444
46,78756,566
47,78757,1614
48,78758,1193
49,78759,1396
